human_gene,mouse_gene,validation_role,mean_log_normalized_expression_fibrotic,mean_log_normalized_expression_healthy,pct_detected_fibrotic,pct_detected_healthy,fibrotic_vs_healthy_delta,pct_detected_delta,interpretation
TREM2,Trem2,macrophage_state_marker,1.0512293682579035,0.1331328390522342,60.29879211697393,11.651542649727768,0.9180965292056693,48.64724946724616,higher in fibrotic mouse liver
C1QC,C1qc,macrophage_complement_context,2.1166999333017773,1.373105850671921,79.72027972027972,66.42468239564428,0.7435940826298564,13.295597324635438,higher in fibrotic mouse liver
C1QA,C1qa,macrophage_complement_context,2.2173337754169737,1.5226222854522349,82.64462809917356,72.52268602540835,0.6947114899647389,10.121942073765211,higher in fibrotic mouse liver
GPNMB,Gpnmb,macrophage_state_marker,0.6954218561153479,0.01688457047622952,39.41513032422123,1.3430127041742286,0.6785372856391184,38.072117620047,higher in fibrotic mouse liver
SPP1,Spp1,macrophage_state_marker,0.6854508544171659,0.07278394495377646,38.97012078830261,7.041742286751361,0.6126669094633894,31.928378501551247,higher in fibrotic mouse liver
C1QB,C1qb,macrophage_complement_context,2.2261960039816957,1.634115154725198,84.26573426573427,78.33030852994555,0.5920808492564977,5.935425735788712,higher in fibrotic mouse liver
CD9,Cd9,macrophage_state_marker,0.981694369970411,0.5790053915909423,59.12269548633186,42.28675136116152,0.4026889783794687,16.835944125170336,higher in fibrotic mouse liver
LST1,Lst1,circulating_myeloid_context,1.7657867924044535,1.3803306367507164,83.6935791481246,72.52268602540835,0.38545615565373703,11.170893122716251,higher in fibrotic mouse liver
COL3A1,Col3a1,fibrosis_burden,0.16196628332815277,0.004006229211355708,11.951684678957406,0.2903811252268602,0.15796005411679706,11.661303553730546,similar between mouse liver samples
TIMP1,Timp1,secreted_matrix_remodeling,0.12206173163532573,0.004486580326003503,9.218054672600127,0.5081669691470054,0.11757515130932222,8.709887703453122,similar between mouse liver samples
COL1A1,Col1a1,fibrosis_burden,0.06850622101722408,3.356822199128776e-4,4.640813731722822,0.03629764065335753,0.06817053879731119,4.604516091069465,similar between mouse liver samples
PDGFRA,Pdgfra,stromal_receptor_target,0.017943423432898092,3.4540484642526733e-4,1.5257469802924348,0.03629764065335753,0.017598018586472825,1.4894493396390773,similar between mouse liver samples
PLVAP,Plvap,scar_endothelial_marker,0.045218356679129976,0.030123922329657955,3.9732994278448825,2.577132486388385,0.015094434349472021,1.3961669414564977,similar between mouse liver samples
ACKR1,Ackr1,scar_endothelial_marker,0.016501014549237712,0.008632968619912145,1.621106166560712,0.7259528130671506,0.007868045929325567,0.8951533534935614,similar between mouse liver samples
SMOC2,Smoc2,secreted_stromal_biomarker,0.005993300507604406,7.66409891581513e-4,0.540368722186904,0.07259528130671505,0.005226890616022893,0.46777344088018896,similar between mouse liver samples
PDGFRB,Pdgfrb,stromal_receptor_target,0.009615166183415841,0.005044038769463812,1.1443102352193262,0.5081669691470054,0.004571127413952029,0.6361432660723207,similar between mouse liver samples
