compartment,pathway_direction,pathway,overlap,pathway_size,p_value,p_adj
endothelial,higher_in_cirrhosis,HALLMARK_MYC_TARGETS_V1,41,168,5.201646804176418e-6,2.600823402088209e-4
endothelial,higher_in_cirrhosis,HALLMARK_APICAL_JUNCTION,25,102,3.312817934847805e-4,0.008282044837119511
endothelial,higher_in_cirrhosis,HALLMARK_CHOLESTEROL_HOMEOSTASIS,12,41,0.002418306064445615,0.030228825805570188
endothelial,higher_in_cirrhosis,HALLMARK_COAGULATION,19,79,0.0021073945577240252,0.030228825805570188
endothelial,higher_in_cirrhosis,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,28,142,0.005274327256311563,0.05274327256311563
endothelial,higher_in_cirrhosis,HALLMARK_MYOGENESIS,21,103,0.009977137702435449,0.08314281418696208
endothelial,higher_in_cirrhosis,HALLMARK_IL2_STAT5_SIGNALING,22,127,0.048481612877029553,0.3462972348359254
endothelial,higher_in_cirrhosis,HALLMARK_ADIPOGENESIS,23,140,0.07308781835029964,0.4014733058221715
endothelial,higher_in_cirrhosis,HALLMARK_DNA_REPAIR,16,92,0.08116764878131164,0.4014733058221715
endothelial,higher_in_cirrhosis,HALLMARK_HEDGEHOG_SIGNALING,4,15,0.09635359339732115,0.4014733058221715
endothelial,higher_in_cirrhosis,HALLMARK_MYC_TARGETS_V2,7,31,0.0708438878517221,0.4014733058221715
endothelial,higher_in_cirrhosis,HALLMARK_P53_PATHWAY,21,129,0.09048556932459345,0.4014733058221715
endothelial,higher_in_cirrhosis,HALLMARK_E2F_TARGETS,16,97,0.116795165228307,0.4441844372010667
endothelial,higher_in_cirrhosis,HALLMARK_HYPOXIA,20,127,0.12437164241629867,0.4441844372010667
endothelial,higher_in_cirrhosis,HALLMARK_ESTROGEN_RESPONSE_LATE,16,100,0.1420286208070676,0.4650353693386127
endothelial,lower_in_cirrhosis,HALLMARK_TNFA_SIGNALING_VIA_NFKB,50,154,1.8027424597340058e-6,9.013712298670029e-5
endothelial,lower_in_cirrhosis,HALLMARK_APOPTOSIS,38,117,3.0659430250640676e-5,7.66485756266017e-4
endothelial,lower_in_cirrhosis,HALLMARK_COMPLEMENT,36,134,0.0027143029791056868,0.045238382985094784
endothelial,lower_in_cirrhosis,HALLMARK_INTERFERON_ALPHA_RESPONSE,21,69,0.004284192594301887,0.05355240742877359
endothelial,lower_in_cirrhosis,HALLMARK_ANDROGEN_RESPONSE,19,64,0.00858219431571269,0.057585283912820764
endothelial,lower_in_cirrhosis,HALLMARK_HYPOXIA,33,127,0.00691993818497532,0.057585283912820764
