disease_state,donor,sample_id,fraction,compartment_call,cells,median_genes,median_umis,median_percent_mt,median_percent_ribo,median_percent_hb,median_log10_genes_per_umi
cirrhotic,cirrhotic1,cirrhotic1_cd45+,CD45_positive,endothelial,227,1606,4610,4.203843514070007,23.298550189306493,0,0.8764203880963517
cirrhotic,cirrhotic1,cirrhotic1_cd45+,CD45_positive,macrophage_monocyte,1148,1325,3949.5,4.110346830069286,25.857343265219903,0,0.867057067766084
cirrhotic,cirrhotic1,cirrhotic1_cd45+,CD45_positive,mesenchymal_HSC_myofibroblast,44,1260.5,3790,6.696765822806251,19.72465654473096,0,0.8676721583476615
cirrhotic,cirrhotic1,cirrhotic1_cd45+,CD45_positive,other_or_unresolved,847,1037,2956,3.7067099567099566,30.59532780708365,0,0.8653080424009894
cirrhotic,cirrhotic1,cirrhotic1_cd45-A,CD45_negative,endothelial,691,1846,5243,4.637581587083477,23.038685973633026,0,0.8757845171646385
cirrhotic,cirrhotic1,cirrhotic1_cd45-A,CD45_negative,macrophage_monocyte,596,1732,5232.5,5.7902954690337864,22.892567070675256,0,0.8708099010989703
cirrhotic,cirrhotic1,cirrhotic1_cd45-A,CD45_negative,mesenchymal_HSC_myofibroblast,113,1720,5636,5.1080550098231825,23.049348787190823,0,0.8632327968234458
cirrhotic,cirrhotic1,cirrhotic1_cd45-A,CD45_negative,other_or_unresolved,161,1133,3333,4.076350695567777,29.60670065549891,0,0.8633803966667228
cirrhotic,cirrhotic1,cirrhotic1_cd45-B,CD45_negative,endothelial,176,1717,4892,4.578497351401649,22.582642701509613,0,0.8751862564501776
cirrhotic,cirrhotic1,cirrhotic1_cd45-B,CD45_negative,macrophage_monocyte,1203,1938,5756,6.5333809353802215,23.463227222832053,0,0.8710135174800571
cirrhotic,cirrhotic1,cirrhotic1_cd45-B,CD45_negative,mesenchymal_HSC_myofibroblast,154,1550,5010,6.083312358419331,21.7498604885178,0,0.8634461071428737
cirrhotic,cirrhotic1,cirrhotic1_cd45-B,CD45_negative,other_or_unresolved,312,1123,3284,3.8724618752191944,29.23124613812196,0,0.8658562407889039
cirrhotic,cirrhotic2,cirrhotic2_cd45+,CD45_positive,endothelial,675,1749,4348,3.3622226319995083,22.67298578199052,0,0.8904655574585842
cirrhotic,cirrhotic2,cirrhotic2_cd45+,CD45_positive,macrophage_monocyte,1466,1402,3461,3.685159353408921,23.39001287636922,0,0.8884289545737283
cirrhotic,cirrhotic2,cirrhotic2_cd45+,CD45_positive,mesenchymal_HSC_myofibroblast,89,1468,4032,4.243166054671563,23.87344199424736,0,0.8852744848544657
cirrhotic,cirrhotic2,cirrhotic2_cd45+,CD45_positive,other_or_unresolved,1088,1160,2789.5,3.0220842957470433,28.45615721453293,0,0.888512503320241
cirrhotic,cirrhotic2,cirrhotic2_cd45-,CD45_negative,endothelial,1150,2036.5,5370,3.6671570712034463,24.007623007121417,0,0.8853864478839812
cirrhotic,cirrhotic2,cirrhotic2_cd45-,CD45_negative,macrophage_monocyte,2059,1765,5131,3.850325379609545,23.412620404953806,0,0.8721323170819826
cirrhotic,cirrhotic2,cirrhotic2_cd45-,CD45_negative,mesenchymal_HSC_myofibroblast,63,1747,4516,3.993610223642172,21.31861748475167,0,0.885643756588349
cirrhotic,cirrhotic2,cirrhotic2_cd45-,CD45_negative,other_or_unresolved,299,1194,3019,3.328998699609883,30.798192771084338,0,0.8804677936795634
cirrhotic,cirrhotic3,cirrhotic3_cd45+,CD45_positive,endothelial,599,1414,4298,4.207537429013939,32.981620149761746,0.009989012086704625,0.867637274595435
cirrhotic,cirrhotic3,cirrhotic3_cd45+,CD45_positive,macrophage_monocyte,748,1416,4551.5,4.8110384704119085,30.18955016757154,0,0.858874205298533
cirrhotic,cirrhotic3,cirrhotic3_cd45+,CD45_positive,mesenchymal_HSC_myofibroblast,218,1612.5,5742,3.9920612820888715,32.94246812341497,0,0.8517464030821988
cirrhotic,cirrhotic3,cirrhotic3_cd45+,CD45_positive,other_or_unresolved,337,785,2617,2.978870800138552,45.00226142017187,0,0.8461111741258589
cirrhotic,cirrhotic3,cirrhotic3_cd45-,CD45_negative,endothelial,1882,1607,4645.5,3.974401632953149,29.44213088747518,0,0.872871917772947
cirrhotic,cirrhotic3,cirrhotic3_cd45-,CD45_negative,macrophage_monocyte,1242,1469.5,4873,4.574780380953433,29.10733418219983,0,0.857519827201652
cirrhotic,cirrhotic3,cirrhotic3_cd45-,CD45_negative,mesenchymal_HSC_myofibroblast,81,1649,5116,4.476877664808134,26.736800317586347,0,0.8606616757164933
cirrhotic,cirrhotic3,cirrhotic3_cd45-,CD45_negative,other_or_unresolved,345,1042,3200,3.461888855147282,39.01430842607313,0,0.8554282050775636
cirrhotic,cirrhotic4,cirrhotic4_cd45+,CD45_positive,endothelial,71,1627,3897,2.318623784592371,24.09090909090909,0,0.8874801241923179
cirrhotic,cirrhotic4,cirrhotic4_cd45+,CD45_positive,macrophage_monocyte,2083,1388,3869,2.4961218445917357,25.489412704754294,0,0.8698626381104843
cirrhotic,cirrhotic4,cirrhotic4_cd45+,CD45_positive,mesenchymal_HSC_myofibroblast,11,1108,2633,4.187758858720662,24.931787175989086,0,0.8811410982690078
cirrhotic,cirrhotic4,cirrhotic4_cd45+,CD45_positive,other_or_unresolved,2643,990,2665,2.4517971911449656,33.963133640552996,0,0.8719052251183315
cirrhotic,cirrhotic5,cirrhotic5_cd45+,CD45_positive,endothelial,55,2011,6109,4.125083166999334,29.196456325769347,0,0.8671823738148137
cirrhotic,cirrhotic5,cirrhotic5_cd45+,CD45_positive,macrophage_monocyte,1408,1835,6755,3.23820520360107,29.943803269076987,0,0.8484109581638248
cirrhotic,cirrhotic5,cirrhotic5_cd45+,CD45_positive,mesenchymal_HSC_myofibroblast,10,1963.5,7108,3.8418179607918455,26.46270238796821,0,0.8611982604216991
cirrhotic,cirrhotic5,cirrhotic5_cd45+,CD45_positive,other_or_unresolved,1440,1383.5,4834,3.1102167462016475,38.38881644100047,0,0.8507558284679202
healthy,healthy1,healthy1_cd45+,CD45_positive,endothelial,34,786.5,1662,4.490370027827131,22.564917579458502,0,0.897707370756609
healthy,healthy1,healthy1_cd45+,CD45_positive,macrophage_monocyte,996,1106.5,2882.5,3.8251616958128567,24.83314144779751,0,0.8791513787708467
healthy,healthy1,healthy1_cd45+,CD45_positive,mesenchymal_HSC_myofibroblast,3,1980,4707,4.227745910346293,16.974718504355216,0,0.8951732375674581
healthy,healthy1,healthy1_cd45+,CD45_positive,other_or_unresolved,815,1002,2517,2.5797278082470037,30.88535291717666,0,0.8839043812262107
healthy,healthy1,healthy1_cd45-A,CD45_negative,endothelial,411,1486,3153,3.8818359375,15.615141955835963,0,0.9065328257495332
healthy,healthy1,healthy1_cd45-A,CD45_negative,macrophage_monocyte,315,1188,2952,6.096423017107309,14.370638407857328,0,0.884006973673517
healthy,healthy1,healthy1_cd45-A,CD45_negative,mesenchymal_HSC_myofibroblast,12,1900,5056.5,4.787298138709065,18.04287613972625,0,0.8817642916006394
healthy,healthy1,healthy1_cd45-A,CD45_negative,other_or_unresolved,92,1303.5,4277.5,2.6827576093080934,16.27408958608038,0,0.8480686601910812
healthy,healthy1,healthy1_cd45-B,CD45_negative,endothelial,1,1821,3978,2.3881347410759175,14.6807440925088,0,0.9057647584976269
healthy,healthy1,healthy1_cd45-B,CD45_negative,macrophage_monocyte,86,1357.5,2944,5.204144449804305,17.14257886532132,0,0.8952734470001531
healthy,healthy1,healthy1_cd45-B,CD45_negative,mesenchymal_HSC_myofibroblast,287,1676,4209,6.097823744882568,18.43600818367811,0,0.8909903391324248
