gene,mean_healthy,mean_cirrhotic,log2FC_cirrhotic_vs_healthy,p_value,p_adj,direction
TREM2,0.7322129717029894,0.12105482013548274,-0.6111581515675066,6.546644133417963e-8,3.927986480050778e-7,lower_in_cirrhosis
SMOC2,0.8059544371626789,0.21496202059413047,-0.5909924165685484,5.1239508509586876e-8,3.927986480050778e-7,lower_in_cirrhosis
PDGFRB,1.0254883968131683,0.4507073988210538,-0.5747809979921145,1.119088032471932e-6,3.6121024260386736e-6,lower_in_cirrhosis
GPNMB,0.7916983381275193,0.26021555994777135,-0.531482778179748,1.2040341420128912e-6,3.6121024260386736e-6,lower_in_cirrhosis
CD9,1.7250877868289316,1.1420621558853907,-0.5830256309435409,7.332856725136332e-6,1.7598856140327194e-5,lower_in_cirrhosis
PDGFRA,0.7124009404439747,0.2651713672401935,-0.4472295732037812,5.719540353677868e-5,1.1439080707355737e-4,lower_in_cirrhosis
ACKR1,0.7718863068685049,0.40092576967556276,-0.37096053719294214,1.1653192518622509e-4,1.9976901460495728e-4,lower_in_cirrhosis
SPP1,0.8000009234176629,0.40912389390422155,-0.3908770295134414,2.6669432642007515e-4,4.0004148963011273e-4,lower_in_cirrhosis
PLVAP,1.0658097021083692,0.8797297904789325,-0.1860799116294367,0.011444109482852027,0.015258812643802702,lower_in_cirrhosis
COL3A1,0.8292997888656722,0.75274643885133,-0.07655335001434227,0.024399464591639507,0.029279357509967407,lower_in_cirrhosis
COL1A1,0.7850943277078479,0.715340725898089,-0.06975360180975898,0.034863348277883184,0.03803274357587256,lower_in_cirrhosis
TIMP1,2.4167625067171685,2.571893538868225,0.1551310321510564,0.9331274717190745,0.9331274717190745,higher_in_cirrhosis
