rank,gene,demo_score,direction,log2FC_cirrhotic_vs_healthy,p_adj,present_in_demo,total_counts
1,TIMP1,10.805714185301685,higher_in_cirrhosis,0.1551310321510564,0.9331274717190745,TRUE,6667
2,TREM2,10,lower_in_cirrhosis,-0.6111581515675066,3.927986480050778e-7,TRUE,14
3,SMOC2,10,lower_in_cirrhosis,-0.5909924165685484,3.927986480050778e-7,TRUE,44
4,PDGFRB,10,lower_in_cirrhosis,-0.5747809979921145,3.6121024260386736e-6,TRUE,167
5,GPNMB,10,lower_in_cirrhosis,-0.531482778179748,3.6121024260386736e-6,TRUE,58
6,CD9,10,lower_in_cirrhosis,-0.5830256309435409,1.7598856140327194e-5,TRUE,718
7,PDGFRA,10,lower_in_cirrhosis,-0.4472295732037812,1.1439080707355737e-4,TRUE,45
8,ACKR1,10,lower_in_cirrhosis,-0.37096053719294214,1.9976901460495728e-4,TRUE,171
9,SPP1,10,lower_in_cirrhosis,-0.3908770295134414,4.0004148963011273e-4,TRUE,221
10,PLVAP,10,lower_in_cirrhosis,-0.1860799116294367,0.015258812643802702,TRUE,526
11,COL3A1,10,lower_in_cirrhosis,-0.07655335001434227,0.029279357509967407,TRUE,772
12,COL1A1,10,lower_in_cirrhosis,-0.06975360180975898,0.03803274357587256,TRUE,1252
