gene,cirrhotic_endothelial,cirrhotic_macrophage-monocyte,cirrhotic_mesenchymal-HSC-myofibroblast,cirrhotic_other-or-unresolved,healthy_endothelial,healthy_macrophage-monocyte,healthy_mesenchymal-HSC-myofibroblast,healthy_other-or-unresolved
FO538757.2,0.29012414596985553,0.29765810421129835,0.39647345424958397,0.2877254128850707,0.3669394013657916,0.31229278724498827,0.5997859027304862,0.36493298329462304
AP006222.2,0.23852363874232174,0.1900895846600822,0.340265438123282,0.15331888871223345,0.1927343034310648,0.1467467331824281,0.3787538900505909,0.14060735476135644
RP4-669L17.10,0.006919312608919434,0.007173859087251797,0.0091140784703069,0.0055843291531253985,0.010697336255612127,0.0095691683272465,0.020446807963350723,0.00867726654254418
RP11-206L10.9,0.04200209923355694,0.057591463879353134,0.08229825931293536,0.061063633960152686,0.04413325653804462,0.07179305600579924,0.1883147409869956,0.08046206942219196
LINC00115,0.03730459662182894,0.030810420761065167,0.05568757655141294,0.0367758172696865,0.03901579914596347,0.030137843772048967,0.031526898574867,0.041511257169415665
FAM41C,0.016189285164042142,0.04561544401094505,0.06028115620775613,0.04783992370913437,0.0318318876409904,0.05855867901839158,0.07733906865683239,0.05988806714994451
RP11-54O7.3,0.005719989309761309,4.556060725718238e-4,0.021458361785948652,0,0.004106284972501168,4.9148930726184394e-5,7.695425523556353e-4,0
SAMD11,0.027889330682186603,0.004807936295432742,0.23597001326780023,0.001221250451280678,0.024592588635320982,0.004460510084703028,0.040403945723513725,0.005995244465136075
NOC2L,0.27655593466710227,0.2589275988191526,0.25636410600659826,0.28919405900775336,0.2880349716174991,0.2665037625382576,0.33104184811490844,0.2958834812736703
KLHL17,0.014161100891008476,0.012270088189652553,0.0019819798870843973,0.008055205011906229,0.014020502182122889,0.009128265598859892,0.00976492937436247,0.015941655932547805
PLEKHN1,0.009409322568484714,0.01662772131182852,0.010600452514836642,0.026500461920993482,0.0011927921851442797,0.010808665577581866,4.5638312267829345e-4,0.017487526565079275
RP11-54O7.17,0.0036389583681368204,0.01483092260504924,0.016768893077038376,0.002327695792493364,0.0048530069869075106,0.008106040324890366,0.052547038725272485,7.658785408289486e-4
HES4,0.36424306385833694,0.3802380981965903,2.152192251882333,0.02515439103632706,0.41877040570509716,0.1705362539448835,2.8553298767549005,0.047096610874243904
ISG15,3.2964370195397033,2.28891996167113,1.8736830935674857,1.922168107720672,3.5274799861523616,1.9114584091923266,1.4805721683354112,1.8265031039947413
AGRN,0.36626606573183845,0.1777236874536856,0.1565247152633823,0.02911176383401304,0.2299014612483572,0.058738396690163314,0.12436828406075771,0.02557077514962807
C1orf159,0.03702989986818885,0.03869137405357398,0.03819962441250215,0.032698669288157345,0.04169343259842987,0.03202110988987401,0.025961070434261328,0.034039918052265465
RP11-465B22.8,0.009905693658154678,0.027966198558195005,0.0030823607624065265,0.005947559214716562,7.930358761500012e-4,0.006141338532921258,0.026251027598470884,0.0032062113824156543
TTLL10,0.01725423835153745,0.013328362624159984,0.006201756820991343,0.005970982700053102,0.024597606995087135,0.01647321070710534,0.006852522172635448,0.012193900555936995
TNFRSF18,0.07039047883484757,0.2907994368559609,0.05050481904303374,0.4313517567577555,0.04424984728801761,0.25049104903355957,0.06970802899015893,0.37707170863779294
TNFRSF4,0.6413322940484635,0.22547107070827674,0.09660459677765389,0.4788928258554696,0.2601491442877348,0.1859526521418442,0.06493757542080833,0.2884354615822373
SDF4,1.113902818321795,0.8164073914899606,1.0037585873287702,0.7480086829398022,1.2055014641957402,0.8796207117182454,1.2376993840517285,0.9538642575219386
B3GALT6,0.13896803611503525,0.08363619876304004,0.08215048182416013,0.05943457180739046,0.1132751572572311,0.08994857875464536,0.04448226066662934,0.07604065661538838
FAM132A,0.01815277808780631,0.0037534084171283624,0.005039096699433179,0.0020999225678824387,0.029757557043017045,0.006652507931064119,6.266151789506427e-4,0.004135776930799685
UBE2J2,0.3963264905359987,0.41738692758453,0.4248900864234652,0.4513492068540913,0.4098369499540333,0.39115465923721826,0.4573322053804497,0.46538073941463204
SCNN1D,0.004892376829619938,0.005031350256277989,0.0123092768959118,0.003032552836223983,0.008936786517807821,0.005635764159812593,2.074950188745769e-4,0.005377016997477114
ACAP3,0.08664340277109707,0.07239988241087632,0.09507793785173944,0.05348949757753854,0.0781438415851605,0.08753959422207433,0.09946618803107483,0.07819974694996011
PUSL1,0.07052381453014668,0.0756714783664173,0.07907785216954569,0.07643500533842496,0.06058756195334091,0.06833830832557954,0.05574647612774691,0.0703063883421542
CPSF3L,0.3943724621792055,0.3156287782657608,0.3260102931797848,0.3285137838735056,0.3849361900819073,0.29434147213766854,0.3338357900853408,0.3166770010330244
CPTP,0.21883470678128136,0.13138219969621598,0.08972566928144769,0.12207217993246854,0.19259841210266107,0.099304109880813,0.09852326066695728,0.11205596156539425
DVL1,0.07544374938477018,0.03335983468341671,0.06035812064831856,0.01948516705933554,0.07230320222999852,0.023254215846487864,0.04292739830046198,0.015691168038547053
MXRA8,0.0063410797403611755,0.0038493127122020084,1.2937049996435532,0.004252115649683553,8.435650666641281e-4,0.0015327988841740304,0.4271124878033337,0.002258256025367886
AURKAIP1,1.3340214513593263,1.4030559258386415,1.2565256387490193,1.0558128259554584,1.218286815868085,1.1651174642845743,1.3912911668607622,1.0959592002876462
CCNL2,0.37215696295982037,0.2581631122688653,0.26429185082374684,0.2812521398672318,0.410714354654429,0.255088316802117,0.43863902715113884,0.2895152810191001
MRPL20,1.3644704188927168,1.3729806091756536,1.489500847635675,1.2075200869669074,1.2036632880495266,1.2646809944888728,1.3989597109270826,1.2528597351583721
RP4-758J18.13,0.011670117805580242,0.005672193530283186,0.008273941946470546,0.00960940762775825,0.0225711893836842,0.013454180739974422,0.02648693554953726,0.02005791852902911
ANKRD65,0.10739586156515875,0.03554517144395468,0.0237245538780296,0.006129022708127395,0.03493375964096294,0.010679869686355379,0.009023870297818558,0.00306055281066601
RP4-758J18.10,0.007530483996744996,7.150465645701445e-4,0.005550365963379796,7.464234170958134e-4,0.003352779454167505,5.06483323575267e-4,0,0
VWA1,3.113370550570877,0.11079740420489821,0.11804750832960278,0.022407968608407876,0.2841222388715223,0.015247226703554006,0.04378054417668586,0.0024238409913187055
ATAD3C,0.10810555496407968,0.029566052476081947,0.006366817272457105,0.022491155023370436,0.0369328602513487,0.03947135474044239,0.025264244534152477,0.04029578650986123
ATAD3B,0.10220563854237576,0.05104843680817536,0.02336358974271389,0.04098302070401028,0.06468758786355436,0.05691283595806157,0.06187375838054446,0.0648875256222442
ATAD3A,0.09354683895818783,0.06853482594960875,0.05875411809861676,0.0664904313765623,0.09272891356790834,0.07602536666675996,0.067516653512277,0.06555342212725607
TMEM240,3.3228557047251936e-4,8.141221971017901e-4,0.0013797960330312134,0,0,3.016843203408525e-4,0,2.08526741886433e-4
SSU72,1.1747511143660616,1.3160386443636467,1.1056408399506197,1.3975782054238075,1.2736479064534385,1.5124915895209148,1.1741603563307608,1.574156652423114
RP5-832C2.5,0.05971103419040188,0.038245715870949465,0.03564532689909274,0.04708517435190269,0.10291076205883064,0.07309137878775815,0.09426221083894404,0.09487726020615278
C1orf233,0.007727101457289897,0.015784601113979693,0.023958274751530065,0.0037730463227434612,0.0021197813460941744,0.012686363451823767,0.0027235651998928946,0.0076148027253682155
RP11-345P4.9,0.04427407293670301,0.048315455451409334,0.05276654562744841,0.045806113754070434,0.03894309862707479,0.04036552957081706,0.09321255007546801,0.047967518384855086
MIB2,0.20426866336268626,0.33920648086083427,0.18648394423642883,0.4813532198397073,0.2908131849279204,0.5242848201417278,0.5620896795177998,0.8020918765795576
MMP23B,0.048849331536942764,0.12143209068104173,1.1536159731981293,0.1288269463157961,0.03577095615818854,0.14791641578268147,0.11790309549181642,0.18726632207617908
CDK11B,0.26189578244903117,0.23304939302328437,0.2801328523823123,0.27169150604700126,0.45675697579004526,0.2604959413754879,0.34943685176414063,0.3018481140922485
RP11-345P4.10,0.0024473021289360733,0.0063977040703692934,0.004399377224160148,0.004552589064780862,0.004019777652468238,0.005754549186257556,0.013296438219951506,0.009510834737386353
SLC35E2B,0.18787083905334864,0.2008350617046859,0.16685643687141366,0.20615669078427107,0.29598584315826737,0.2353104874489813,0.23239596434214427,0.2730091688627012
RP11-345P4.7,0.0022825251229144695,0.004169895803252415,0,0.004934868733070534,0.007024418426389047,0.004617736209799243,0.006828091940020035,0.005844731881765481
CDK11A,0.26828672716299423,0.23505265350779705,0.18224307295331704,0.314942227709984,0.40204820963370363,0.20038889169449228,0.3098473632891566,0.24688865750773398
SLC35E2,0.02481587031848583,0.028305684631173066,0.0034387159644901108,0.03044175075943279,0.0629914921943455,0.031195823608869702,0.04411347468511921,0.04862906002751855
NADK,0.14971774592944626,0.226433710743785,0.11608295670317645,0.1039776776785018,0.16339268638369558,0.22323537858848252,0.15654542152576487,0.12992900887792308
GNB1,0.8613878718441439,0.5354329144123934,0.42010923767811004,0.3481726667341302,0.9698189704632375,0.6447366072188057,0.4182526820062637,0.4639373952422947
TMEM52,0.0068779418947494475,0.00845701890463658,0.004817207233952889,0.0016170093017661192,0.004630943584535697,0.002832109967455483,0.013711687437489123,0.001123787427328485
CFAP74,0.037613929184343586,0.00748599885523223,0.02007548654912117,0.005185672937800271,0.038662700241725134,0.01393988547724458,0.032229396000365604,0.02610078524490208
RP11-547D24.1,0.020122124133285204,7.506933055222658e-4,0.00206356310902196,0,0.001320859721985947,0.0015718112655744027,0,0.0030374176208295737
GABRD,0.43585198341098125,0.006762368310326834,0.03851477126290746,0.002497314463677673,0.05056612430764751,0.001363025724396502,0.020688160672772363,5.680496498115922e-5
PRKCZ,0.10680814631410003,0.06326336428082592,0.03669700380230697,0.08460652629602888,0.10723033485990888,0.0672788162574909,0.037459501005701765,0.09756728106128912
RP5-892K4.1,0.01862680999594961,0.02204269855340268,0.024907181845147952,0.02858838614417104,0.049363949945464475,0.040079216041101345,0.05851240864040465,0.055373430008893776
RP11-181G12.2,0.002656396382440678,4.075378150496027e-4,6.340047697446837e-4,2.604261071130495e-4,2.1647905220968175e-4,0.0017980862868575112,0.00635652633237912,0.0019556143002257037
FAAP20,0.8827950642771492,0.8036896083221586,1.1911747415570453,0.7005059038632233,0.7578021367137926,0.7948357483663391,0.9466489199079312,0.7564186408924812
RP11-181G12.4,6.346747945855596e-4,3.480075108373019e-4,0,0,0,0,0,0
SKI,0.302604608102271,0.13155333065353986,0.2281340093328053,0.11653674708017572,0.3658750805580038,0.09969989500283337,0.12837301256661576,0.08692624598362352
MORN1,0.018057283851505943,0.02194990607920764,0.025071251446083246,0.014203996671870764,0.024673161016642933,0.01836318733313674,0.02895018338182864,0.016150630498276614
RER1,0.6657353283926642,0.9046006519235178,0.8956433172726671,0.7858063871440915,0.6682002233272427,0.7582261627234419,0.8514693078105054,0.7286896474903645
PEX10,0.13332873145622282,0.09844918546355141,0.12566870974779693,0.0600745837312871,0.1265118348747885,0.08564853090448671,0.1046904877760874,0.07209582542706668
PLCH2,0.00842153300397045,0.03646628181154972,0.005771076403857618,0.041292835439799946,0.01181394288814884,0.04222532729297294,0.015267294429565755,0.0655951672225917
PANK4,0.04612610894080712,0.051867973092279106,0.04755915467285159,0.07558890835990233,0.06324462227069756,0.04398098629045527,0.0934142281553399,0.05235160952094131
HES5,0.006354358841733795,9.83926409677793e-4,0.01321489329283307,0,0.002991464654123879,1.4245301550508857e-4,0,0
RP3-395M20.12,0.0648752704136502,0.21002406367750306,0.26375490257549755,0.23670426531916314,0.11237068718472182,0.27870254678719086,0.4111435569212278,0.3686856933184316
RP3-395M20.8,0.05041190030491064,0.08011640961196898,0.034499745893764165,0.09117965443850651,0.09514220274887546,0.07076148858219924,0.04312544733359378,0.10296838363046323
TNFRSF14,0.5487153865854605,0.756402267082582,0.3152545619363624,0.9834405345200771,0.6698830323033338,0.7795966665269712,0.38922574760832146,0.9086362872013797
RP3-395M20.9,0.007763787672710715,0.00862802329566439,0,0.03305179358729273,0.013768874961215538,0.009864765958289926,0.011794972306742493,0.016120729265669813
FAM213B,0.12183826207976318,0.0731021338356483,0.05991323183376994,0.0702624310575396,0.12378885313381824,0.0651977536119283,0.13536201388578706,0.0669197577360893
MMEL1,0.017827368755539773,0.012048168144679364,0.033134602776680414,0.0059896855704632945,0.00883110974793278,0.009185509110048845,0.004699615760901792,0.0032477087620928443
TTC34,0.011697320406389624,0.006219380056809414,0.012627862479684428,0.008003188678500514,0.011207056132727662,0.009306193104242994,0,0.003259715028519367
LINC00982,0.028380555384231256,0.013590732168780864,0.030121727925992398,0.0019269247285638971,0.03275329819879344,0.006026850287442063,0.08560163893964284,0.0038506184748719322
PRDM16,0.02594375410920587,0.014694176693052258,0.05350161766161889,0.0021118453061101453,0.03236691011362598,0.005759140450871087,0.09738063120569221,0.003069599083621467
ARHGEF16,0.004596176046422819,0.025778706219993872,0.008615473888392252,0.003697913364676946,0.004019832482714942,0.010622047373027282,0.017474788571709483,0.002555682106407185
MEGF6,0.04622615687030289,0.01862669620744702,0.09395967525094757,0.013487789462694933,0.039804801782532505,0.011231085421781995,0.02543986376310211,0.008760546677418218
TPRG1L,0.15248784211177452,0.08294872360863013,0.0953699936762205,0.07993185887624879,0.23408010538721885,0.09628604539559536,0.10619143302894267,0.1066225095096117
WRAP73,0.13935928324857377,0.1433533629303369,0.11198792685887562,0.17843677359188198,0.1526712032794579,0.14955173105445327,0.13026591533214751,0.18472263842420475
TP73-AS1,0.06247340907751989,0.03820867528786706,0.056047178420487495,0.040851995394974146,0.0906729796827788,0.03904155230289404,0.0910875024628009,0.046323266200808
SMIM1,0.010626379353398278,0.06484248856505899,0.09216042643472382,0.0348365116259924,0.03648956287441646,0.04416132528208942,0.06864427449536038,0.02806210341740946
LRRC47,0.17199158641040976,0.16547704204909564,0.1628752988311814,0.1853689513866936,0.24079174846957774,0.18609454136316425,0.22876531951552348,0.22625253300375225
CEP104,0.13256445594339528,0.1469070088668606,0.10244826302688564,0.14439543987910522,0.2193746002551776,0.14382300441380888,0.22058802014542786,0.18345749409317524
DFFB,0.017587068856426386,0.02705620718239883,0.024696975835519153,0.03604229429940259,0.0276098463063837,0.026097209211255253,0.018348145900256744,0.03318969182758509
C1orf174,0.19106863573314856,0.22919186419724985,0.16927434708909692,0.2804138382038029,0.2411016617299835,0.2687186091452296,0.3270401594126342,0.3446570691295087
LINC01134,0.0032682622732946856,0.0027221896008032837,0.0024664611228364343,0.002362123265389989,0.007656993501008359,0.004272722197044398,0.005349993069317022,0.003615406629349482
AJAP1,0.002460058023063323,0.00641638075382171,0.004568432178319574,0.001286819985682381,0.0011232621014838668,0.006997264384080208,0.014532667174603645,0.002327757602642123
NPHP4,0.02998784999355995,0.017729454627493587,0.025920772852240807,0.007591588672054169,0.018205801682482526,0.014761786439608805,0.017626111768353835,0.009867025601572812
KCNAB2,0.0834412305084508,0.31060836773631806,0.034988428704807686,0.3351170768318245,0.14862723175235037,0.46899226464230825,0.181134797458397,0.5297694570517455
RPL22,16.169590106217537,14.467310273483584,16.115216268003277,15.534095598676315,12.59049397462678,13.991284731892762,13.079454778645005,14.386934552470041
RP1-120G22.11,0.0024098655153827813,0.0017854689536985094,5.265250693328212e-4,0.001558055552853547,0,0,0,0
RNF207,0.04019415940434185,0.10718159613984359,0.12530106908286207,0.049117032764476834,0.04163691667957089,0.04072167545952593,0.08614654306908291,0.04353566281840134
ICMT,0.17271060471879424,0.1019060138200154,0.15583017266624669,0.08799009814542286,0.1860076188880519,0.11005477927551308,0.15086757434898812,0.1056613666165606
LINC00337,7.134444212802683e-4,0.0017979705455173484,0.0014802262496218022,0.001317575596548259,0,5.638893446244606e-4,0.004943935309042757,0.002278980513503974
GPR153,0.004339154440742268,0.005903250646186285,0.0626594596131678,0.006818386566587851,0.0015370297529695425,0.006271637968080416,0.004076586805729074,0.007674382426641782
ACOT7,0.12173837213035325,0.10305488278262173,0.09593278288978434,0.08177100038511842,0.11462836522287671,0.0929667401773458,0.08087714174497461,0.08608706290099996
RP1-202O8.3,0.013422921994424864,0.009680085805112213,0.020201255462277534,0.010340705427510945,0.009242602881293768,0.006902019230888904,0.020511213941144607,0.014965749291438863
HES2,0.015636271981446,0.012111785598600003,0.013003989223591576,0.013031582766924728,0.04689753865756754,0.037703543320484,0.06779325572945562,0.05268790652290214
ESPN,0.01120168476211098,0.0639701606006968,0.02365223735803392,0.02517921638880174,0.0025680734077842414,0.027025653445915076,0.01473097517973575,0.015090923268964936
TNFRSF25,0.12977749630209098,0.189304372520445,0.06348777855737539,0.4774529569215221,0.13220032980415997,0.19560452519604446,0.13202055825961445,0.37185296011779423
PLEKHG5,0.06135142942912014,0.01216125208025363,0.01210613163979474,0.005464946930478247,0.0917716552161379,0.006274989511510123,0.021909912037960333,0.0030744695927088805
NOL9,0.12930083577165005,0.0931361556086231,0.06255183976826,0.10496671089262902,0.20254884983468383,0.11424904891877073,0.1785613103253198,0.1308914601258391
ZBTB48,0.08403466739349394,0.10824668203178585,0.06768163959582976,0.09477217572658159,0.08496879581251922,0.11051696767251769,0.12832259666030446,0.11925089343896239
KLHL21,0.06887834465433347,0.0815743837657043,0.07009907908198473,0.06423140999406475,0.05499866514011081,0.086042958800735,0.10883967178710754,0.12208452938302
PHF13,0.051335340413806795,0.0648176270225376,0.05768087296738692,0.05330140192740962,0.09998081059094024,0.05746586333261723,0.10710520693311898,0.05564932546318745
THAP3,0.11644445736056297,0.10590593728419898,0.12474689498644173,0.09517353699249895,0.11240013930734497,0.09242390780870688,0.1473570231351554,0.10518279923953316
DNAJC11,0.18438523129754605,0.15863661415492786,0.17476710132352735,0.13124964414978796,0.28998496758166753,0.17496846177068204,0.33821220586491246,0.1726624736884423
RP11-242F24.1,0.004437106353946175,0.0020471747425615102,0.0026452759075677114,0.002621795730644762,0.01131128090130847,0.004732114203044015,0.010380226433035692,0.01294540906465077
CAMTA1,1.3506442144297899,0.790589963415988,1.5490078542508434,0.502211323969473,1.199304199088862,0.7232421977911061,1.9645134666434294,0.5312925521630535
RP4-549F15.1,0.0010142544718468277,0,0,0,0,0,0,0
VAMP3,0.6010964889310484,0.31434391343179013,0.2756001842209427,0.20141055858067752,0.7563807585880643,0.39974704716491305,0.5173043291735657,0.25369342977269194
PER3,0.0879598579128588,0.06181225741478425,0.11406673382599951,0.023974677004816508,0.10064564369167525,0.057738494406017415,0.1525424617090745,0.040813153920252955
UTS2,0.0047798781965747396,0.016418445721650163,0.009931043157065085,0.031007178166586578,0.031259415639486594,0.19118085291918474,0.026697813955779023,0.22044661579068023
TNFRSF9,0.01265474585775195,0.10369497146557025,0.03207147118131449,0.14017223665291959,0.06823414258623654,0.07741026725848776,0.07890373017165914,0.158074210147589
PARK7,3.1528449534139287,3.0308936496244385,4.184621552972968,2.6549160599846946,2.213513707447849,2.2164026255477443,3.153810596358594,2.273695276429398
