gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,compartment,contrast
TIMP1,2.92665040305825e-166,3.755219094571758,0.88,0.508,6.7438805237671255e-162,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
NNMT,1.8193139651360828e-156,3.261210426626815,0.501,0.079,4.192245169863076e-152,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
C1R,2.3046985388869407e-153,2.6630978308857562,0.607,0.147,5.3107168431571775e-149,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
CFH,5.099057626661027e-153,2.767510030576089,0.513,0.083,1.1749758489115006e-148,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
COL3A1,4.7155533881625445e-141,3.623959347518563,0.582,0.15,1.0866049672342952e-136,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
CST3,3.404716673073796e-140,1.6967760831893388,0.923,0.671,7.845488629763948e-136,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
THY1,7.260918698197256e-140,3.587915639877435,0.391,0.039,1.6731334956255937e-135,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
PCOLCE,1.883011640585845e-139,3.17528999900661,0.471,0.076,4.339023723401962e-135,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
COL1A1,8.295069149362433e-138,4.164117366161983,0.605,0.175,1.9114327840875855e-133,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
SERPINF1,1.736794344007846e-135,4.295658475286292,0.425,0.061,4.00209520689728e-131,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
IFITM3,2.987096254153719e-133,1.3560500356532268,0.941,0.716,6.883165898446414e-129,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
EFEMP1,1.482574719881261e-129,3.569681668027487,0.354,0.032,3.41629692702239e-125,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
COL1A2,2.286661049721373e-127,3.4698040743276826,0.599,0.179,5.26915305687296e-123,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
MGP,6.767569771585052e-126,2.2685691114166056,0.88,0.52,1.5594511024663435e-121,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
MMP23B,2.2699057107418293e-122,3.2866262259569887,0.333,0.029,5.230543729262397e-118,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
PDGFRA,8.859220003006072e-120,4.108937895783906,0.282,0.014,2.041430065292689e-115,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
LXN,7.651547853915096e-117,4.958153615637123,0.313,0.028,1.7631461719776555e-112,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
DCN,2.2557138948425495e-115,2.254433248356751,0.72,0.334,5.197841527885687e-111,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
C1S,3.2472023058134826e-113,2.5057963778930725,0.504,0.127,7.482528273286008e-109,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
TPT1,7.866984483076518e-112,1.0414591770980506,0.995,0.932,1.812789234435322e-107,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
XIST,2.6128422287199722e-110,5.160129593704204,0.235,0.006,6.020772347639432e-106,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
PTGIS,8.692217646302018e-109,4.8660363793700565,0.259,0.014,2.002947712237374e-104,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
RARRES1,1.524372246558744e-106,4.623908573953091,0.259,0.015,3.5126109677453138e-102,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
LUM,3.8547274436827015e-104,2.771477757869201,0.336,0.043,8.882448448478049e-100,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
MMP2,3.0386868368551536e-103,3.5320331431554575,0.264,0.018,7.0020460781653305e-99,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
ANXA1,3.9995752881504494e-98,1.3282082404157496,0.637,0.219,9.21622133648508e-94,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
S100A11,5.133317808151332e-97,1.0886552556775668,0.902,0.557,1.1828704225323114e-92,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
FBLN1,6.9236444521473385e-96,3.3093751376147096,0.273,0.026,1.5954153911083113e-91,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
CLEC11A,2.521052968080276e-95,2.1641011017302496,0.476,0.127,5.80926235434738e-91,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
OLFML3,3.725437237853555e-95,2.245176053911071,0.393,0.078,8.584525027185947e-91,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
GGT5,1.450933606925141e-94,2.721722925027585,0.312,0.041,3.3433863104376025e-90,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
TMEM176A,3.441024109893842e-94,2.718222478133221,0.341,0.055,7.92915185642838e-90,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
TSPAN4,3.612192698022049e-94,2.014607155701963,0.462,0.118,8.323575634052208e-90,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
SERPING1,1.0043008328693112e-93,1.4247957034871834,0.806,0.456,2.314210409180754e-89,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
IFI27,9.584672441713705e-93,1.907715303318723,0.466,0.124,2.208596070744089e-88,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
IGFBP7,2.4027118600556178e-92,1.3046881983393002,0.951,0.784,5.53656893912616e-88,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
PPIB,5.3535196261589796e-92,1.2773440138084724,0.793,0.438,1.2336115274558136e-87,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
RARRES2,1.3098437401198989e-90,1.8216156377202544,0.727,0.38,3.018272930358283e-86,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
MEG3,2.734883811662091e-90,2.5879763665389195,0.303,0.04,6.301992767212956e-86,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
FN1,2.813839806877636e-90,2.589484391085122,0.402,0.089,6.483931066988137e-86,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
TMEM176B,5.155077225448979e-90,2.309820126513693,0.382,0.079,1.1878844450602083e-85,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
S100A13,7.207705369228493e-90,1.9564132602939395,0.496,0.146,1.6608715482313216e-85,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
MARCKS,9.802533418978222e-90,1.8665005877591052,0.423,0.097,2.2587977757351516e-85,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
PRSS23,1.725873419728816e-88,2.380015374680114,0.393,0.086,3.976930121081111e-84,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
PLTP,2.2606849044644733e-88,2.4086341665790867,0.401,0.093,5.209296225357485e-84,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
LRP1,1.3812323468712428e-85,1.9801183354880616,0.372,0.075,3.182773696895405e-81,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
THBS2,8.796986884876425e-85,3.8291673753456825,0.225,0.017,2.0270896878820746e-80,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
NR2F1,1.4775911689114962e-81,2.427392895710846,0.346,0.068,3.4048133305227605e-77,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
CCDC80,8.960174308913298e-81,3.2125627158134424,0.47,0.157,2.0646929660028913e-76,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
C4orf48,9.369038834778934e-81,1.4819356193404234,0.374,0.08,2.1589076186981097e-76,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
BGN,7.225800407922385e-79,1.8986627123915203,0.866,0.583,1.6650411879975552e-74,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
COL5A1,1.0927528137997914e-78,3.306951341288599,0.25,0.03,2.5180303088388595e-74,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
IGFBP2,1.0992474640152026e-78,3.285186434005646,0.271,0.038,2.5329959313302312e-74,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
CD63,4.7284607810053256e-76,0.9007342026792751,0.941,0.751,1.0895792177670572e-71,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
DAB2,1.1983605375718748e-75,2.455503103530237,0.259,0.035,2.761382186726871e-71,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
C3,3.237772416701213e-75,4.470705828059458,0.296,0.056,7.460798979804605e-71,mesenchymal_HSC_myofibroblast,cirrhotic_vs_healthy_cell_level
