gene,condition,focused_compartment,cells,mean_norm_expression,pct_detected,nash_vs_normal_delta
ACKR1,NAFL,HSC_myofibroblast_like,3037,0,0,7.756076117068558e-4
ACKR1,NAFL,endothelial_like,2228,0.033620799173501886,0.4488330341113106,0.06862705850109006
ACKR1,NAFL,macrophage_like,1530,0,0,0.0018652582019339308
ACKR1,NASH,HSC_myofibroblast_like,18562,7.756076117068558e-4,0.010774701002047193,7.756076117068558e-4
ACKR1,NASH,endothelial_like,8570,0.10122542894019011,1.3185530921820303,0.06862705850109006
ACKR1,NASH,macrophage_like,7801,0.0018652582019339308,0.025637738751442124,0.0018652582019339308
ACKR1,NORMAL,HSC_myofibroblast_like,4584,0,0,7.756076117068558e-4
ACKR1,NORMAL,endothelial_like,2877,0.03259837043910005,0.4171011470281543,0.06862705850109006
ACKR1,NORMAL,macrophage_like,2358,0,0,0.0018652582019339308
CD9,NAFL,HSC_myofibroblast_like,3037,0.03701310331286941,0.49390846229832075,0.0466376022009201
CD9,NAFL,endothelial_like,2228,0.5983994062017873,7.360861759425494,0.4899717131650574
CD9,NAFL,macrophage_like,1530,4.140511410149467,45.55555555555556,-1.7743467633277517
CD9,NASH,HSC_myofibroblast_like,18562,0.11323966707332166,1.5138454907876306,0.0466376022009201
CD9,NASH,endothelial_like,8570,1.0806559478056927,13.558926487747957,0.4899717131650574
CD9,NASH,macrophage_like,7801,3.6608893138770267,40.81528009229586,-1.7743467633277517
CD9,NORMAL,HSC_myofibroblast_like,4584,0.06660206487240156,0.8944153577661431,0.0466376022009201
CD9,NORMAL,endothelial_like,2877,0.5906842346406354,7.194994786235662,0.4899717131650574
CD9,NORMAL,macrophage_like,2358,5.435236077204778,59.83884648006785,-1.7743467633277517
COL1A1,NAFL,HSC_myofibroblast_like,3037,1.0183650873294112,12.47942048073757,0.5415935260806682
COL1A1,NAFL,endothelial_like,2228,0.02208048311879067,0.26929982046678635,0.07561583827768592
COL1A1,NAFL,macrophage_like,1530,0.016700770924350766,0.19607843137254902,0.09098561178171465
COL1A1,NASH,HSC_myofibroblast_like,18562,1.2699370249918598,16.22131235858205,0.5415935260806682
COL1A1,NASH,endothelial_like,8570,0.1014195122034634,1.295215869311552,0.07561583827768592
COL1A1,NASH,macrophage_like,7801,0.12696233150170022,1.5510831944622483,0.09098561178171465
COL1A1,NORMAL,HSC_myofibroblast_like,4584,0.7283434989111915,9.053228621291447,0.5415935260806682
COL1A1,NORMAL,endothelial_like,2877,0.02580367392577749,0.31282586027111575,0.07561583827768592
COL1A1,NORMAL,macrophage_like,2358,0.035976719719985575,0.4240882103477523,0.09098561178171465
COL3A1,NAFL,HSC_myofibroblast_like,3037,1.5554835586829772,19.03193941389529,0.7352320847928056
COL3A1,NAFL,endothelial_like,2228,0.09062764555567276,1.1669658886894074,0.11511525178704125
COL3A1,NAFL,macrophage_like,1530,0.06419668864091513,0.7843137254901961,0.13266545008083722
COL3A1,NASH,HSC_myofibroblast_like,18562,2.2290506669680163,27.793341234780733,0.7352320847928056
COL3A1,NASH,endothelial_like,8570,0.18902050069248347,2.427071178529755,0.11511525178704125
COL3A1,NASH,macrophage_like,7801,0.1715893610100019,2.063837969491091,0.13266545008083722
COL3A1,NORMAL,HSC_myofibroblast_like,4584,1.4938185821752108,18.32460732984293,0.7352320847928056
COL3A1,NORMAL,endothelial_like,2877,0.07390524890544221,0.9037191518943343,0.11511525178704125
COL3A1,NORMAL,macrophage_like,2358,0.038923910929164696,0.46649703138252757,0.13266545008083722
GPNMB,NAFL,HSC_myofibroblast_like,3037,0.03491368304405163,0.49390846229832075,0.023535001143293422
GPNMB,NAFL,endothelial_like,2228,0.14736898679013025,1.7953321364452424,0.07893868031148682
GPNMB,NAFL,macrophage_like,1530,0.9473870458210317,10.784313725490197,0.1986011822136713
GPNMB,NASH,HSC_myofibroblast_like,18562,0.0497442046251327,0.6895808641310204,0.023535001143293422
GPNMB,NASH,endothelial_like,8570,0.14781227526618257,1.8203033838973162,0.07893868031148682
GPNMB,NASH,macrophage_like,7801,0.6218907013161817,7.255480066658121,0.1986011822136713
GPNMB,NORMAL,HSC_myofibroblast_like,4584,0.02620920348183928,0.37085514834205935,0.023535001143293422
GPNMB,NORMAL,endothelial_like,2877,0.06887359495469575,0.8342022940563086,0.07893868031148682
GPNMB,NORMAL,macrophage_like,2358,0.42328951910251045,4.8346055979643765,0.1986011822136713
PDGFRA,NAFL,HSC_myofibroblast_like,3037,0.48037072480789494,5.959828778399737,0.6273160783967993
PDGFRA,NAFL,endothelial_like,2228,0.025626940433447265,0.3141831238779174,0.03378075084694505
PDGFRA,NAFL,macrophage_like,1530,0.022267694565800727,0.261437908496732,0.04338015460035148
PDGFRA,NASH,HSC_myofibroblast_like,18562,0.9113205909645986,11.733649391229394,0.6273160783967993
PDGFRA,NASH,endothelial_like,8570,0.06540108518075224,0.8284714119019836,0.03378075084694505
PDGFRA,NASH,macrophage_like,7801,0.07493526272649426,0.9101397256761954,0.04338015460035148
PDGFRA,NORMAL,HSC_myofibroblast_like,4584,0.2840045125677994,3.555846422338569,0.6273160783967993
PDGFRA,NORMAL,endothelial_like,2877,0.0316203343338072,0.3823427181091415,0.03378075084694505
PDGFRA,NORMAL,macrophage_like,2358,0.031555108126142775,0.38167938931297707,0.04338015460035148
PDGFRB,NAFL,HSC_myofibroblast_like,3037,1.3959250866163642,16.56239710240369,0.6044848068927144
PDGFRB,NAFL,endothelial_like,2228,0.03699184970275068,0.4488330341113106,0.07928788858057917
PDGFRB,NAFL,macrophage_like,1530,0.1055754808021695,1.2418300653594772,0.05498216071890154
PDGFRB,NASH,HSC_myofibroblast_like,18562,2.0845155057369507,25.864669755414287,0.6044848068927144
PDGFRB,NASH,endothelial_like,8570,0.16303969308534383,2.042007001166861,0.07928788858057917
PDGFRB,NASH,macrophage_like,7801,0.17716158577668492,2.102294577618254,0.05498216071890154
PDGFRB,NORMAL,HSC_myofibroblast_like,4584,1.4800306988442362,17.38656195462478,0.6044848068927144
PDGFRB,NORMAL,endothelial_like,2877,0.08375180450476466,1.0079944386513728,0.07928788858057917
PDGFRB,NORMAL,macrophage_like,2358,0.12217942505778338,1.441899915182358,0.05498216071890154
PLVAP,NAFL,HSC_myofibroblast_like,3037,0.004305719825575346,0.0658544616397761,0.012234552705672102
PLVAP,NAFL,endothelial_like,2228,1.148333427872676,13.285457809694792,0.5910050901600011
PLVAP,NAFL,macrophage_like,1530,0,0,0.0057483988990341154
PLVAP,NASH,HSC_myofibroblast_like,18562,0.012234552705672102,0.1723952160327551,0.012234552705672102
PLVAP,NASH,endothelial_like,8570,1.2881812882027053,15.799299883313886,0.5910050901600011
PLVAP,NASH,macrophage_like,7801,0.0057483988990341154,0.07691321625432636,0.0057483988990341154
PLVAP,NORMAL,HSC_myofibroblast_like,4584,0,0,0.012234552705672102
PLVAP,NORMAL,endothelial_like,2877,0.6971761980427041,8.063955509210983,0.5910050901600011
PLVAP,NORMAL,macrophage_like,2358,0,0,0.0057483988990341154
SMOC2,NAFL,HSC_myofibroblast_like,3037,0.2869611938935531,3.5232136977280213,0.729424083051498
SMOC2,NAFL,endothelial_like,2228,0.014798590804323304,0.17953321364452424,0.05499297800935207
SMOC2,NAFL,macrophage_like,1530,0.005301979110011224,0.065359477124183,0.05248635691470749
SMOC2,NASH,HSC_myofibroblast_like,18562,1.0029459708769322,12.714147182415688,0.729424083051498
SMOC2,NASH,endothelial_like,8570,0.07200566758831198,0.9218203033838973,0.05499297800935207
SMOC2,NASH,macrophage_like,7801,0.08121145455603432,0.9998718113062428,0.05248635691470749
SMOC2,NORMAL,HSC_myofibroblast_like,4584,0.27352188782543413,3.3813263525305413,0.729424083051498
SMOC2,NORMAL,endothelial_like,2877,0.01701268957895991,0.20855057351407716,0.05499297800935207
SMOC2,NORMAL,macrophage_like,2358,0.028725097641326833,0.33927056827820185,0.05248635691470749
SPP1,NAFL,HSC_myofibroblast_like,3037,0.007294132883724344,0.09878169245966416,0.20927239450726068
SPP1,NAFL,endothelial_like,2228,0.06683868299592077,0.807899461400359,0.3147053283982357
SPP1,NAFL,macrophage_like,1530,0.6768357067925448,7.516339869281046,2.554354103548052
SPP1,NASH,HSC_myofibroblast_like,18562,0.2237786472022193,3.016916280573214,0.20927239450726068
SPP1,NASH,endothelial_like,8570,0.3689281326944251,4.667444574095683,0.3147053283982357
SPP1,NASH,macrophage_like,7801,3.560051290047656,39.85386488911678,2.554354103548052
SPP1,NORMAL,HSC_myofibroblast_like,4584,0.014506252694958621,0.1963350785340314,0.20927239450726068
SPP1,NORMAL,endothelial_like,2877,0.05422280429618944,0.6604101494612443,0.3147053283982357
SPP1,NORMAL,macrophage_like,2358,1.005697186499604,11.153519932145887,2.554354103548052
TIMP1,NAFL,HSC_myofibroblast_like,3037,1.5262551432569431,16.924596641422458,-0.04091118649824077
TIMP1,NAFL,endothelial_like,2228,0.59796591215405,7.3159784560143635,0.32973221030659916
TIMP1,NAFL,macrophage_like,1530,0.2596873537511997,3.071895424836601,0.4020245029939259
TIMP1,NASH,HSC_myofibroblast_like,18562,1.700703289718338,19.987070358797542,-0.04091118649824077
TIMP1,NASH,endothelial_like,8570,0.8412299867055005,10.44340723453909,0.32973221030659916
TIMP1,NASH,macrophage_like,7801,0.7387389659472502,8.973208563004743,0.4020245029939259
TIMP1,NORMAL,HSC_myofibroblast_like,4584,1.7416144762165788,19.30628272251309,-0.04091118649824077
TIMP1,NORMAL,endothelial_like,2877,0.5114977763989014,6.18700034758429,0.32973221030659916
TIMP1,NORMAL,macrophage_like,2358,0.3367144629533243,4.028837998303647,0.4020245029939259
TREM2,NAFL,HSC_myofibroblast_like,3037,0,0,0.0012281186692797358
TREM2,NAFL,endothelial_like,2228,0,0,0.0019404225448933594
TREM2,NAFL,macrophage_like,1530,0,0,0.019103190141728354
TREM2,NASH,HSC_myofibroblast_like,18562,0.0012281186692797358,0.01616205150307079,0.0012281186692797358
TREM2,NASH,endothelial_like,8570,0.0019404225448933594,0.023337222870478413,0.0019404225448933594
TREM2,NASH,macrophage_like,7801,0.019103190141728354,0.2307396487629791,0.019103190141728354
TREM2,NORMAL,HSC_myofibroblast_like,4584,0,0,0.0012281186692797358
TREM2,NORMAL,endothelial_like,2877,0,0,0.0019404225448933594
TREM2,NORMAL,macrophage_like,2358,0,0,0.019103190141728354
