refined_cell_state,mechanism_compartment,label,n_input_genes,ID,Term_Description,Fold_Enrichment,occurrence,support,lowest_p,highest_p,non_Signif_Snw_Genes,Up_regulated,Down_regulated,n_up_genes,n_down_genes
HSC_myofibroblast_reference_supported,mesenchymal_HSC_myofibroblast,HSC/myofibroblast,247,R-HSA-1474244,Extracellular matrix organization,11.712878353227634,10,0.5,1.463934321283502e-17,9.811456358116927e-16,,"ADAMTS2, COL14A1, COL15A1, COL1A1, COL1A2, COL3A1, COL5A1, COL5A2, COL8A1, COMP, CTSK, DCN, EFEMP1, EFEMP2, FBLN1, FBLN2, FBN1, FMOD, FN1, LAMB1, LOX, LOXL1, LOXL2, LTBP2, LUM, MFAP2, MMP2, PCOLCE, PECAM1, PPIB, TIMP1, TIMP2, TNXB, VCAN, VWF","ITGA8, PDGFA",35,2
HSC_myofibroblast_reference_supported,mesenchymal_HSC_myofibroblast,HSC/myofibroblast,247,R-HSA-2129379,Molecules associated with elastic fibres,23.02363451317426,10,0.15,8.751639296472365e-13,0.001529486482787225,,"EFEMP1, EFEMP2, FBLN1, FBLN2, FBN1, FN1, LTBP2, MFAP2",ITGA8,8,1
HSC_myofibroblast_reference_supported,mesenchymal_HSC_myofibroblast,HSC/myofibroblast,247,R-HSA-1566948,Elastic fibre formation,25.814378090528717,10,0.2,3.247727341227276e-12,5.24748385919673e-9,,"EFEMP1, EFEMP2, FBLN1, FBLN2, FBN1, FN1, LOX, LOXL1, LOXL2, LTBP2, MFAP2",ITGA8,11,1
HSC_myofibroblast_reference_supported,mesenchymal_HSC_myofibroblast,HSC/myofibroblast,247,R-HSA-1474290,Collagen formation,14.889191857458512,10,0.225,2.37036847124583e-10,3.5853863295838115e-10,,"ADAMTS2, COL14A1, COL15A1, COL1A1, COL1A2, COL3A1, COL5A1, COL5A2, COL8A1, LOX, LOXL1, LOXL2, PCOLCE, PPIB",,14,0
HSC_myofibroblast_reference_supported,mesenchymal_HSC_myofibroblast,HSC/myofibroblast,247,R-HSA-2022090,Assembly of collagen fibrils and other multimeric structures,18.620207147266616,10,0.225,6.793508788162734e-10,9.783546257017658e-10,,"COL14A1, COL15A1, COL1A1, COL1A2, COL3A1, COL5A1, COL5A2, COL8A1, LOX, LOXL1, LOXL2, PCOLCE",,12,0
HSC_myofibroblast_reference_supported,mesenchymal_HSC_myofibroblast,HSC/myofibroblast,247,R-HSA-5625900,RHO GTPases activate CIT,19.92688835058357,10,0.1,1.6125573094842922e-8,1.6125573094842922e-8,KIF14,,"MYH11, PPP1CB, PPP1R12B, RHOB",0,4
HSC_myofibroblast_reference_supported,mesenchymal_HSC_myofibroblast,HSC/myofibroblast,247,R-HSA-2243919,Crosslinking of collagen fibrils,31.550906555090656,10,0.05,3.794395988539794e-7,4.7352993447163457e-7,,"COL1A1, COL1A2, LOX, LOXL1, LOXL2, PCOLCE",,6,0
HSC_myofibroblast_reference_supported,mesenchymal_HSC_myofibroblast,HSC/myofibroblast,247,R-HSA-1474228,Degradation of the extracellular matrix,10.81745367603108,10,0.2,6.119304284238356e-7,2.4864003167981503e-5,,"COL14A1, COL15A1, COL1A1, COL1A2, COL3A1, COL5A1, COL5A2, COL8A1, CTSK, DCN, FBN1, FN1, LAMB1, MMP2, TIMP1, TIMP2",,16,0
HSC_myofibroblast_reference_supported,mesenchymal_HSC_myofibroblast,HSC/myofibroblast,247,R-HSA-445355,Smooth Muscle Contraction,13.20735623236353,10,0.2,2.48274526216998e-6,3.261268799699244e-5,,"ANXA1, ANXA2","ACTG2, MYH11, MYLK, TPM1",2,4
HSC_myofibroblast_reference_supported,mesenchymal_HSC_myofibroblast,HSC/myofibroblast,247,R-HSA-5627117,RHO GTPases Activate ROCKs,19.92688835058357,10,0.1,6.073882563654302e-6,6.073882563654302e-6,,,"MYH11, PPP1CB, PPP1R12B, RHOB",0,4
