disease_state,donor,sample_id,fraction,cells,median_genes,q05_genes,q95_genes,median_umis,q05_umis,q95_umis,median_percent_mt,q95_percent_mt,median_percent_ribo,q95_percent_ribo,median_percent_hb,q95_percent_hb,median_log10_genes_per_umi
cirrhotic,cirrhotic1,cirrhotic1_cd45+,CD45_positive,2344,1157.5,724.15,2617.9499999999994,3494,1933.75,11624.25,4.010128971944825,16.201381117750454,26.43769302480613,43.17424623340282,0,0.024027839755547516,0.8669188357743838
cirrhotic,cirrhotic1,cirrhotic1_cd45-A,CD45_negative,1652,1652,840.6500000000001,3734.6999999999953,4933,2342.85,16535.449999999997,5.06389898792138,26.717018595281644,22.805599615587028,35.8999571218742,0,0.0412270546156174,0.8717084791539301
cirrhotic,cirrhotic1,cirrhotic1_cd45-B,CD45_negative,2004,1539,766.3,3513.199999999999,4779,2156.1499999999996,15309.449999999997,6.079192466843541,32.67688411799863,23.10057703322748,36.49061310057316,0,0.021501491594957376,0.8686934750871917
cirrhotic,cirrhotic2,cirrhotic2_cd45+,CD45_positive,3409,1318,870.4,3105,3256,1980.8,10370.399999999998,3.39421088904204,14.641108917884315,24.38914027149321,40.26625172890733,0,0.04034861358413091,0.888247666559957
cirrhotic,cirrhotic2,cirrhotic2_cd45-,CD45_negative,3672,1757,1000,3453.949999999998,4883.5,2388.55,13929.849999999995,3.7988734263586177,13.90042256061292,23.63097511684596,39.65926139038905,0,0.0526484359510119,0.8784032305742655
cirrhotic,cirrhotic3,cirrhotic3_cd45+,CD45_positive,1968,1280,671.35,3276.1499999999987,3963,2100.05,15340.29999999997,4.234581546187241,17.57966678673079,33.005050505050505,51.92581291377526,0,0.05876540154653469,0.8586878879280175
cirrhotic,cirrhotic3,cirrhotic3_cd45-,CD45_negative,3598,1469,867.85,3056.1499999999996,4511.5,2369,13987.749999999998,4.155175478235662,12.276498525052329,29.532300334117693,45.98169793256239,0,0.04052376480833546,0.8661463452824687
cirrhotic,cirrhotic4,cirrhotic4_cd45+,CD45_positive,4819,1098,811,2414.2999999999984,2933,2216,10795.199999999993,2.478168515459051,4.310874551980805,30.179972311952007,44.88855355276275,0,0.035132714704982554,0.8713614038207211
cirrhotic,cirrhotic5,cirrhotic5_cd45+,CD45_positive,2922,1524.5,1153,3091.7999999999993,5370,4075,23521.84999999999,3.2045671802364537,5.638232002948797,34.400729646697386,48.37527890142982,0,0.024360239286199514,0.8500329215708029
healthy,healthy1,healthy1_cd45+,CD45_positive,1860,1035,550,1993.2499999999998,2678.5,1121.9,7097.449999999999,3.1359906506281945,8.805590290083849,27.434521891710844,43.15804213135068,0,0.056403170710901805,0.8813853428856981
healthy,healthy1,healthy1_cd45-A,CD45_negative,969,1257,296.20000000000005,2577.3999999999996,3452,1621,14191.999999999996,5.366814377154111,90.06234896802405,13.876381498158002,26.803134543619635,0,0.0545199303042965,0.8904916021702686
healthy,healthy1,healthy1_cd45-B,CD45_negative,436,1513.5,330,3051.5,3845.5,880.5,9359,6.464547669633637,79.92098831278123,17.075153232363064,25.05797717274344,0,0.04423644492542531,0.8899757309927226
healthy,healthy2,healthy2_cd45+,CD45_positive,6571,589,403.5,1212,1139,701.5,3204.5,2.311111111111111,4.077430026753936,29.008438818565402,42.19987502095685,0,0,0.9041435324915417
healthy,healthy2,healthy2_cd45-,CD45_negative,4684,680,439,1555,1362.5,772,3995.0999999999967,2.6650058709411955,6.398283224647219,25.764281899203674,40.27349998479457,0,0.03237041339516364,0.9063110602143851
healthy,healthy3,healthy3_cd45+,CD45_positive,3295,1350,955.7,2799.4999999999986,3956,2459.7,13224.199999999993,3.7700084245998315,6.826084729374127,28.395820528580206,43.945057011470666,0,0.026568540290024985,0.8688489727025442
healthy,healthy3,healthy3_cd45-A,CD45_negative,3207,1756,993.2,3307.7,4689,2690,14514.199999999992,4.202819956616052,21.450134739239918,18.60715825786977,30.576830371733443,0,0.03789943722041393,0.8845040007283322
healthy,healthy3,healthy3_cd45-B,CD45_negative,1131,1829,1200.5,3086.5,5548,3593.5,32493.5,4.361816231676797,16.909541450216757,21.572260455267337,33.6752210689054,0,0.01864069935595602,0.8728010638381302
healthy,healthy4,healthy4_cd45+,CD45_positive,4932,1240.5,890,2251.7999999999993,3889,2407.55,8458.549999999992,3.533075142696201,6.106346036131668,33.11301970108839,50.76931463576409,0,0.04511277659716114,0.8637916778565211
healthy,healthy4,healthy4_cd45-,CD45_negative,3306,1910.5,1188,3486.5,6109,3010.25,17226,3.719493621185297,8.66055797934164,23.926628183654746,43.95111620157831,0,0.05063837780067098,0.8680244210185786
healthy,healthy5,healthy5_cd45+,CD45_positive,5121,897,592,2011,2197,1317,7387,2.344273275284662,5.989731888191671,30.87874324987727,45.67164179104478,0,0.01631587534671235,0.8798407242211572
