disease_state,donor,sample_id,fraction,compartment_call,cells,median_genes,median_percent_mt
cirrhotic,cirrhotic1,cirrhotic1_cd45+,CD45_positive,endothelial,227,1606,4.203843514070007
cirrhotic,cirrhotic1,cirrhotic1_cd45+,CD45_positive,macrophage_monocyte,1148,1325,4.110346830069286
cirrhotic,cirrhotic1,cirrhotic1_cd45+,CD45_positive,mesenchymal_HSC_myofibroblast,44,1260.5,6.696765822806251
cirrhotic,cirrhotic1,cirrhotic1_cd45+,CD45_positive,other_or_unresolved,847,1037,3.7067099567099566
cirrhotic,cirrhotic1,cirrhotic1_cd45-A,CD45_negative,endothelial,691,1846,4.637581587083477
cirrhotic,cirrhotic1,cirrhotic1_cd45-A,CD45_negative,macrophage_monocyte,596,1732,5.7902954690337864
cirrhotic,cirrhotic1,cirrhotic1_cd45-A,CD45_negative,mesenchymal_HSC_myofibroblast,113,1720,5.1080550098231825
cirrhotic,cirrhotic1,cirrhotic1_cd45-A,CD45_negative,other_or_unresolved,161,1133,4.076350695567777
cirrhotic,cirrhotic1,cirrhotic1_cd45-B,CD45_negative,endothelial,176,1717,4.578497351401649
cirrhotic,cirrhotic1,cirrhotic1_cd45-B,CD45_negative,macrophage_monocyte,1203,1938,6.5333809353802215
cirrhotic,cirrhotic1,cirrhotic1_cd45-B,CD45_negative,mesenchymal_HSC_myofibroblast,154,1550,6.083312358419331
cirrhotic,cirrhotic1,cirrhotic1_cd45-B,CD45_negative,other_or_unresolved,312,1123,3.8724618752191944
cirrhotic,cirrhotic2,cirrhotic2_cd45+,CD45_positive,endothelial,675,1749,3.3622226319995083
cirrhotic,cirrhotic2,cirrhotic2_cd45+,CD45_positive,macrophage_monocyte,1466,1402,3.685159353408921
cirrhotic,cirrhotic2,cirrhotic2_cd45+,CD45_positive,mesenchymal_HSC_myofibroblast,89,1468,4.243166054671563
cirrhotic,cirrhotic2,cirrhotic2_cd45+,CD45_positive,other_or_unresolved,1088,1160,3.0220842957470433
cirrhotic,cirrhotic2,cirrhotic2_cd45-,CD45_negative,endothelial,1150,2036.5,3.6671570712034463
cirrhotic,cirrhotic2,cirrhotic2_cd45-,CD45_negative,macrophage_monocyte,2059,1765,3.850325379609545
cirrhotic,cirrhotic2,cirrhotic2_cd45-,CD45_negative,mesenchymal_HSC_myofibroblast,63,1747,3.993610223642172
