FO538757.2	FO538757.2
AP006222.2	AP006222.2
RP4-669L17.10	RP4-669L17.10
RP11-206L10.9	RP11-206L10.9
LINC00115	LINC00115
FAM41C	FAM41C
SAMD11	SAMD11
NOC2L	NOC2L
HES4	HES4
ISG15	ISG15
AGRN	AGRN
C1orf159	C1orf159
TNFRSF18	TNFRSF18
TNFRSF4	TNFRSF4
SDF4	SDF4
B3GALT6	B3GALT6
FAM132A	FAM132A
UBE2J2	UBE2J2
ACAP3	ACAP3
PUSL1	PUSL1
CPSF3L	CPSF3L
CPTP	CPTP
DVL1	DVL1
MXRA8	MXRA8
AURKAIP1	AURKAIP1
CCNL2	CCNL2
MRPL20	MRPL20
RP4-758J18.13	RP4-758J18.13
VWA1	VWA1
ATAD3C	ATAD3C
ATAD3B	ATAD3B
ATAD3A	ATAD3A
SSU72	SSU72
RP5-832C2.5	RP5-832C2.5
C1orf233	C1orf233
RP11-345P4.9	RP11-345P4.9
MIB2	MIB2
MMP23B	MMP23B
CDK11B	CDK11B
SLC35E2B	SLC35E2B
CDK11A	CDK11A
SLC35E2	SLC35E2
NADK	NADK
GNB1	GNB1
CFAP74	CFAP74
GABRD	GABRD
PRKCZ	PRKCZ
RP5-892K4.1	RP5-892K4.1
FAAP20	FAAP20
SKI	SKI
MORN1	MORN1
RER1	RER1
PEX10	PEX10
PANK4	PANK4
RP3-395M20.12	RP3-395M20.12
RP3-395M20.8	RP3-395M20.8
TNFRSF14	TNFRSF14
FAM213B	FAM213B
MMEL1	MMEL1
LINC00982	LINC00982
PRDM16	PRDM16
MEGF6	MEGF6
TPRG1L	TPRG1L
WRAP73	WRAP73
TP73-AS1	TP73-AS1
SMIM1	SMIM1
LRRC47	LRRC47
CEP104	CEP104
DFFB	DFFB
C1orf174	C1orf174
KCNAB2	KCNAB2
RPL22	RPL22
RNF207	RNF207
ICMT	ICMT
GPR153	GPR153
ACOT7	ACOT7
RP1-202O8.3	RP1-202O8.3
HES2	HES2
ESPN	ESPN
TNFRSF25	TNFRSF25
PLEKHG5	PLEKHG5
NOL9	NOL9
ZBTB48	ZBTB48
KLHL21	KLHL21
PHF13	PHF13
THAP3	THAP3
DNAJC11	DNAJC11
RP11-242F24.1	RP11-242F24.1
CAMTA1	CAMTA1
VAMP3	VAMP3
PER3	PER3
UTS2	UTS2
TNFRSF9	TNFRSF9
PARK7	PARK7
ERRFI1	ERRFI1
RP11-431K24.1	RP11-431K24.1
SLC45A1	SLC45A1
RERE	RERE
ENO1	ENO1
ENO1-AS1	ENO1-AS1
GPR157	GPR157
MIR34AHG	MIR34AHG
H6PD	H6PD
SPSB1	SPSB1
SLC25A33	SLC25A33
PIK3CD	PIK3CD
PIK3CD-AS2	PIK3CD-AS2
CLSTN1	CLSTN1
CTNNBIP1	CTNNBIP1
LZIC	LZIC
NMNAT1	NMNAT1
RBP7	RBP7
UBE4B	UBE4B
KIF1B	KIF1B
PGD	PGD
APITD1	APITD1
DFFA	DFFA
PEX14	PEX14
CASZ1	CASZ1
TARDBP	TARDBP
SRM	SRM
EXOSC10	EXOSC10
MTOR	MTOR
UBIAD1	UBIAD1
FBXO2	FBXO2
FBXO44	FBXO44
FBXO6	FBXO6
MAD2L2	MAD2L2
AGTRAP	AGTRAP
C1orf167	C1orf167
MTHFR	MTHFR
CLCN6	CLCN6
NPPA-AS1	NPPA-AS1
KIAA2013	KIAA2013
PLOD1	PLOD1
MFN2	MFN2
MIIP	MIIP
TNFRSF8	TNFRSF8
